x,y,label
0.658,0.613,1
0.675,1.003,1
0.689,0.677,1
0.705,1.001,1
0.752,0.102,1
0.618,0.577,1
0.642,0.937,1
0.711,0.926,1
0.58,0.612,1
0.716,0.091,1
0.567,0.574,1
0.513,0.779,1
0.699,0.861,1
0.803,0.276,1
0.921,0.398,1
0.85,0.401,1
0.809,0.336,1
0.742,0.338,1
0.671,0.643,1
0.63,0.512,1
0.638,0.651,1
0.573,0.663,1
0.606,0.108,1
0.861,0.367,1
0.588,0.705,1
0.917,0.418,1
0.634,0.726,1
0.644,0.07,1
0.782,0.323,1
0.731,0.366,1
0.571,0.698,1
0.881,0.377,1
0.733,0.388,1
0.882,0.367,1
0.804,0.385,1
0.884,0.225,1
0.826,0.374,1
0.718,0.306,1
0.652,0.95,1
0.564,0.662,1
0.498,0.571,1
0.783,0.954,1
0.862,0.428,1
0.902,0.362,1
0.85,0.162,1
0.59,1.006,1
0.833,0.526,1
0.582,0.956,1
0.629,0.643,1
0.719,0.883,1
0.685,0.136,1
0.54,0.625,1
0.571,0.705,1
0.856,0.209,1
0.435,0.662,1
0.585,0.957,1
0.693,0.94,1
0.75,0.126,1
0.76,0.262,1
0.83,0.86,1
0.685,0.193,1
0.608,0.648,1
0.612,0.944,1
0.735,0.015,1
0.577,0.704,1
0.752,0.857,1
0.566,0.952,1
0.85,0.987,1
0.907,0.278,1
0.777,0.3,1
0.916,0.403,1
0.572,0.728,1
0.818,0.072,1
0.644,0.879,1
0.643,0.115,1
0.738,0.887,1
0.75,0.922,1
0.745,0.941,1
0.72,0.069,1
0.559,0.701,1
0.772,0.359,1
0.668,0.939,1
0.596,0.735,1
0.632,0.144,1
0.756,0.155,1
0.759,0.4,1
0.914,0.346,1
0.673,0.104,1
0.702,0.922,1
0.701,0.974,1
0.735,0.111,1
0.586,0.666,1
0.741,0.983,1
0.714,0.972,1
0.659,0.958,1
0.619,0.627,1
0.68,0.687,1
0.702,0.722,1
0.637,0.76,1
0.66,0.881,1
0.618,0.14,1
0.745,0.129,1
0.605,0.655,1
0.828,0.246,1
0.62,0.743,1
0.786,0.161,1
0.492,0.637,1
0.506,0.582,1
0.714,0.938,1
0.739,0.098,1
0.505,0.796,1
0.797,0.278,1
0.85,0.32,1
0.717,0.892,1
0.896,0.43,1
0.553,0.631,1
0.665,0.896,1
0.644,1.015,1
0.738,0.341,1
0.546,0.721,1
0.827,0.407,1
0.665,0.119,1
0.793,0.858,1
0.808,0.31,1
0.911,0.344,1
0.763,0.931,1
0.682,0.116,1
0.697,0.951,1
0.725,0.134,1
0.676,0.182,1
0.873,0.436,1
0.693,0.891,1
0.642,0.933,1
0.844,0.37,1
0.889,0.067,2
0.54,0.691,1
0.586,0.658,1
0.688,1.016,1
0.864,0.028,1
0.91,0.33,1
0.891,0.322,1
0.484,0.729,1
0.715,0.942,1
0.713,0.012,1
0.742,0.101,1
0.5,0.633,1
0.817,0.242,1
0.721,0.905,1
0.499,0.616,1
0.679,1.055,1
0.725,0.925,1
0.575,0.549,1
0.568,0.674,1
0.686,0.512,1
0.593,0.73,1
0.633,0.109,1
0.638,0.655,1
0.765,0.029,1
0.518,0.648,1
0.701,0.921,1
0.752,0.143,1
0.85,0.353,1
0.806,0.421,1
0.87,0.276,1
0.536,0.682,1
0.85,0.385,1
0.621,0.68,1
0.654,0.107,1
0.672,0.109,1
0.753,1.035,1
0.688,0.175,1
0.609,0.645,1
0.711,1.005,1
0.753,0.113,1
0.706,0.124,1
0.757,0.854,1
0.572,0.729,1
0.674,0.065,1
0.712,1.013,1
0.849,0.35,1
0.967,0.43,1
0.886,0.349,1
0.8,0.182,1
0.656,0.123,1
0.628,0.906,1
0.674,0.313,1
0.651,0.208,1
0.532,0.676,1
0.655,0.913,1
0.792,0.253,1
0.728,0.931,1
0.614,0.627,1
0.723,0.073,1
0.682,0.633,1
0.613,0.651,1
0.717,0.082,1
0.786,0.914,1
0.901,0.294,1
0.793,0.244,1
0.674,0.115,1
0.793,0.337,1
0.759,0.313,1
0.714,0.932,1
0.634,0.566,1
0.913,0.265,1
0.721,0.923,1
0.699,0.109,1
