x,y,label
0.776,0.382,1
0.658,0.709,1
0.633,0.12,1
0.68,0.038,1
0.664,1.036,1
0.686,0.172,1
0.697,0.117,1
0.773,0.913,1
0.812,0.191,1
0.756,0.958,1
0.687,0.052,1
0.719,0.903,1
0.518,0.683,1
0.783,0.088,1
0.623,0.027,1
0.667,0.082,1
0.741,0.139,1
0.723,0.886,1
0.729,0.819,1
0.983,0.351,1
0.662,0.138,1
0.842,0.099,1
0.718,0.266,1
0.582,0.039,1
0.541,0.621,1
0.553,0.555,1
0.669,0.897,1
0.636,0.114,1
0.761,0.379,1
0.781,0.286,1
1.02,0.229,2
0.634,0.743,1
0.566,0.976,1
0.854,0.379,1
0.762,0.414,1
0.708,0.331,1
0.774,0.272,1
0.675,0.045,1
0.71,0.948,1
0.691,0.883,1
0.778,0.255,1
0.796,0.189,1
0.752,0.102,1
0.516,0.594,1
0.527,0.694,1
0.941,0.381,1
0.798,0.267,1
0.698,0.974,1
0.684,0.658,1
0.733,0.357,1
0.604,0.883,1
0.626,0.721,1
0.649,1.037,1
0.537,0.628,1
0.561,1.081,1
0.775,0.938,1
0.844,0.372,1
0.954,0.32,1
0.649,0.147,1
0.774,0.317,1
0.821,0.894,1
0.518,0.561,1
0.662,0.694,1
0.612,0.694,1
0.73,0.939,1
0.667,0.049,1
0.515,0.632,1
0.795,0.193,1
0.714,0.897,1
0.6,0.894,1
0.863,0.327,1
0.806,0.301,1
0.789,0.31,1
0.599,0.68,1
0.606,0.655,1
0.624,0.044,1
0.756,0.297,1
0.693,0.959,1
0.884,0.328,1
0.73,0.128,1
0.837,0.352,1
0.782,0.883,1
0.576,0.781,1
0.74,0.194,1
0.519,0.707,1
0.578,0.975,1
0.594,0.963,1
0.651,0.14,1
0.805,0.241,1
0.622,0.058,1
0.679,0.17,1
0.76,0.334,1
0.936,0.275,1
0.647,0.988,1
0.653,0.846,1
0.685,0.944,1
0.556,0.055,1
0.883,0.294,1
0.801,0.317,1
0.563,0.73,1
0.925,0.345,1
0.522,0.651,1
0.598,0.746,1
0.797,0.348,1
0.668,1.037,1
0.632,0.891,1
0.775,0.879,1
0.844,0.38,1
0.817,0.349,1
0.564,0.595,1
0.557,0.629,1
0.532,0.633,1
0.618,0.629,1
0.945,0.289,1
0.911,0.357,1
0.627,0.763,1
0.612,0.578,1
0.587,0.718,1
0.636,0.665,1
0.86,0.333,1
0.651,0.091,1
0.788,0.129,1
0.708,0.979,1
0.675,0.954,1
0.554,0.746,1
0.637,0.929,1
0.652,0.913,1
0.704,0.894,1
0.758,1.027,1
0.603,0.597,1
0.672,0.161,1
0.647,0.999,1
0.908,0.261,1
0.802,0.334,1
0.63,0.708,1
0.763,0.379,1
0.772,0.939,1
0.762,0.937,1
0.716,0.84,1
0.859,0.326,1
0.683,0.062,1
0.558,0.676,1
0.606,0.116,1
0.66,0.617,1
0.551,0.631,1
0.808,0.114,1
0.843,0.289,1
0.667,1.073,1
0.585,0.641,1
0.597,0.549,1
0.629,0.751,1
0.911,0.345,1
0.499,0.753,1
0.645,0.76,1
0.677,0.9,1
0.67,1.04,1
0.652,0.098,1
0.631,0.734,1
0.849,0.295,1
0.687,0.334,1
0.838,0.431,1
0.626,0.613,1
0.776,0.12,1
0.628,0.139,1
0.825,0.034,1
0.614,0.675,1
0.657,0.933,1
0.712,0.998,1
0.756,0.142,1
0.816,0.27,1
0.73,0.405,1
0.694,0.126,1
0.644,1.012,1
0.857,0.363,1
0.629,0.693,1
0.589,0.521,1
0.647,0.252,1
0.619,0.649,1
0.757,0.736,1
0.759,0.075,1
0.666,0.919,1
0.765,0.07,1
0.888,0.293,1
0.862,0.312,1
0.573,0.096,1
0.689,0.184,1
0.779,0.216,1
0.564,0.582,1
0.645,0.677,1
0.618,0.643,1
0.661,0.647,1
0.659,0.639,1
0.529,0.678,1
0.685,0.124,1
0.565,0.642,1
0.781,0.306,1
0.718,0.152,1
0.643,1.003,1
0.648,1.006,1
0.611,0.784,1
0.741,0.199,1
0.857,0.306,1
0.716,0.939,1
0.647,0.924,1
0.78,0.86,1
0.652,0.634,1
0.606,0.677,1
0.705,0.124,1
0.611,0.234,1
0.777,0.094,1
0.822,0.11,1
0.726,1.043,1
0.55,0.664,1
0.718,0.132,1
0.799,0.379,1
0.714,0.075,1
0.676,0.141,1
0.563,0.968,1
0.608,0.753,1
0.571,0.677,1
0.606,0.91,1
0.744,0.058,1
0.618,0.723,1
0.678,0.918,1
0.852,0.386,1
0.761,0.57,1
0.549,0.69,1
0.788,0.359,1
0.824,0.237,1
0.66,0.055,1
0.665,0.19,1
0.734,0.888,1
0.888,0.226,1
0.601,0.627,1
0.899,0.309,1
0.792,0.103,1
0.62,0.718,1
0.617,0.569,1
0.804,0.078,1
0.739,1.006,1
0.65,0.145,1
0.528,1.021,1
0.62,0.656,1
0.858,0.273,1
0.66,0.855,1
0.769,0.224,1
0.862,0.419,1
0.774,0.061,1
0.696,0.865,1
0.672,0.599,1
0.577,0.686,1
0.557,0.701,1
0.631,0.684,1
0.875,0.259,1
0.667,0.927,1
0.745,0.407,1
0.864,0.177,1
0.705,0.968,1
0.625,0.204,1
0.864,0.358,1
0.668,0.161,1
0.657,0.671,1
0.578,0.643,1
0.766,0.299,1
0.562,0.659,1
0.588,0.937,1
0.528,0.618,1
0.615,0.673,1
0.61,0.67,1
0.69,0.023,1
0.587,0.651,1
0.816,0.308,1
0.628,0.182,1
0.695,0.134,1
0.741,0.106,1
0.631,0.07,1
0.691,0.99,1
0.751,0.163,1
0.77,0.356,1
0.79,0.918,1
0.832,0.428,1
0.683,0.131,1
0.931,0.429,1
0.798,0.367,1
0.711,0.135,1
0.633,0.942,1
0.842,0.37,1
0.685,0.148,1
0.601,0.759,1
0.629,1.035,1
0.823,0.155,1
0.726,0.092,1
0.699,0.625,1
0.709,0.038,1
0.628,0.123,1
0.628,0.954,1
0.587,0.604,1
0.716,0.154,1
0.879,0.357,1
0.791,0.177,1
0.823,0.354,1
0.737,0.97,1
0.797,0.363,1
0.815,0.425,1
0.727,0.933,1
0.868,0.883,1
0.741,0.353,1
0.649,0.196,1
0.655,0.122,1
0.582,0.622,1
0.688,0.924,1
0.767,0.972,1
0.715,0.906,1
0.566,0.682,1
0.812,0.396,1
0.671,0.181,1
0.549,0.703,1
0.533,0.544,1
0.708,0.958,1
0.698,0.964,1
0.614,0.683,1
0.656,0.098,1
0.724,0.092,1
0.616,0.664,1
0.7,0.131,1
0.601,0.993,1
0.669,0.857,1
0.714,0.141,1
0.73,0.194,1
0.565,0.677,1
0.728,0.098,1
0.793,0.371,1
0.632,0.674,1
0.722,1.065,1
0.649,0.094,1
0.806,0.094,1
0.788,0.992,1
0.573,0.995,1
0.557,0.087,1
0.773,0.328,1
0.776,0.062,1
0.532,0.663,1
0.645,0.743,1
0.648,0.766,1
0.449,0.732,1
0.6,0.083,1
0.887,0.313,1
0.701,0.666,1
0.769,0.468,1
0.849,0.39,1
0.691,0.058,1
0.678,0.117,1
0.677,0.605,1
0.724,0.145,1
0.663,0.944,1
0.817,0.283,1
0.76,0.874,1
0.767,0.389,1
0.65,0.193,1
0.729,0.122,1
0.7,0.897,1
0.875,0.093,1
0.842,0.441,1
0.661,1.123,1
0.701,0.991,1
0.513,0.75,1
0.728,0.902,1
0.751,0.324,1
0.688,0.089,1
0.743,0.931,1
0.827,0.347,1
0.568,0.701,1
0.737,0.109,1
0.839,0.294,1
0.819,0.926,1
0.737,0.083,1
0.773,0.161,1
0.685,0.126,1
0.778,0.924,1
0.71,0.997,1
0.625,0.79,1
0.733,0.128,1
0.66,0.721,1
0.681,0.977,1
0.924,0.319,1
0.784,0.108,1
0.641,0.876,1
0.734,1.025,1
0.705,1.031,1
0.814,0.321,1
0.8,0.41,1
0.73,0.369,1
0.71,0.078,1
0.812,0.942,1
0.757,0.984,1
0.672,0.92,1
0.733,0.122,1
0.795,0.303,1
0.632,0.876,1
0.467,0.603,1
0.814,0.321,1
0.758,0.884,1
0.744,0.697,1
0.668,0.189,1
0.653,0.587,1
0.548,0.526,1
0.629,0.84,1
0.616,0.975,1
0.672,0.081,1
0.689,0.625,1
0.733,0.158,1
0.606,0.715,1
0.67,0.116,1
0.731,0.897,1
0.536,0.608,1
0.604,0.696,1
0.688,0.952,1
0.899,0.418,1
0.781,0.088,1
0.687,0.144,1
0.658,0.97,1
0.704,0.073,1
0.667,0.686,1
0.688,0.1,1
0.666,0.971,1
0.708,0.831,1
0.632,0.087,1
0.669,0.949,1
0.841,0.42,1
0.856,0.339,1
0.703,0.103,1
0.622,0.008,1
0.708,0.923,1
0.605,0.683,1
0.696,0.129,1
0.565,0.7,1
0.558,0.573,1
0.721,0.134,1
0.558,0.597,1
0.715,0.911,1
0.684,0.292,1
0.646,0.677,1
0.709,0.137,1
0.839,0.864,1
0.677,0.725,1
0.74,1.037,1
0.657,0.643,1
0.69,0.732,1
0.742,0.038,1
0.663,0.172,1
0.691,0.032,1
0.589,0.89,1
0.644,0.704,1
0.539,0.174,1
0.872,0.347,1
0.792,0.436,1
0.521,0.649,1
0.923,0.303,1
0.587,0.657,1
0.743,0.21,1
0.761,0.064,1
0.743,1.008,1
0.798,0.115,1
0.761,0.129,1
0.834,0.297,1
0.653,1.023,1
0.609,0.946,1
0.61,0.939,1
0.607,0.658,1
0.495,0.682,1
0.612,0.722,1
0.716,0.311,1
0.648,0.984,1
0.662,0.906,1
0.629,0.711,1
0.656,0.898,1
0.582,0.993,1
0.725,0.091,1
0.847,0.374,1
0.713,0.012,1
0.764,0.37,1
0.675,0.948,1
0.633,0.864,1
0.804,0.94,1
0.744,0.941,1
0.761,0.282,1
0.639,0.621,1
0.676,0.944,1
0.811,0.389,1
0.799,0.303,1
0.666,0.048,1
0.635,0.748,1
0.752,0.094,1
0.624,0.038,1
0.699,0.666,1
0.672,0.917,1
0.656,0.104,1
0.764,0.285,1
0.714,0.048,1
0.653,0.948,1
0.7,0.349,1
0.771,0.417,1
0.572,0.733,1
0.672,0.957,1
0.611,0.689,1
0.597,0.912,1
0.632,0.067,1
0.535,0.753,1
0.684,0.017,1
0.599,0.946,1
0.755,1.057,1
0.645,0.085,1
0.673,0.057,1
0.585,0.644,1
0.784,0.147,1
0.607,0.587,1
0.872,0.332,1
0.599,0.655,1
0.512,0.638,1
0.705,0.841,1
0.558,0.717,1
0.83,0.519,1
0.52,0.581,1
0.814,0.078,1
0.784,0.171,1
0.497,0.633,1
0.712,0.265,1
0.826,0.275,1
0.812,0.28,1
0.509,0.739,1
0.829,0.29,1
0.848,0.339,1
0.663,0.082,1
0.693,0.089,1
0.64,0.106,1
0.551,0.757,1
0.466,0.549,1
0.754,0.311,1
0.423,0.632,1
0.775,0.007,1
0.636,0.718,1
0.822,0.275,1
0.707,0.683,1
0.751,1.006,1
0.751,0.138,1
0.769,0.891,1
0.791,0.24,1
0.68,1.051,1
0.844,0.325,1
0.846,0.307,1
0.888,0.31,1
0.516,0.659,1
0.849,0.336,1
0.633,0.869,1
0.569,0.677,1
0.714,0.954,1
0.718,0.845,1
0.719,0.203,1
0.901,0.402,1
0.659,0.95,1
0.723,0.877,1
0.768,0.996,1
0.619,0.682,1
0.734,0.18,1
0.623,0.641,1
0.71,0.096,1
0.629,0.542,1
0.641,0.756,1
0.799,0.383,1
0.899,0.27,1
0.62,0.916,1
0.929,0.398,1
0.772,0.12,1
0.564,0.61,1
0.706,0.929,1
0.799,0.223,1
0.785,0.355,1
0.766,0.096,1
0.697,0.887,1
0.622,0.736,1
0.684,0.684,1
0.766,1.029,1
0.669,0.964,1
0.897,0.307,1
0.784,0.327,1
0.547,0.652,1
0.712,0.117,1
0.553,0.722,1
0.562,0.674,1
0.541,0.939,1
0.833,0.425,1
0.871,0.322,1
0.556,0.536,1
0.835,0.338,1
0.912,0.282,1
0.663,0.191,1
0.69,0.155,1
0.811,0.04,1
0.73,0.984,1
0.53,0.727,1
0.827,0.337,1
0.757,1.032,1
0.738,0.952,1
0.632,0.736,1
0.656,0.71,1
0.71,0.009,1
0.825,0.274,1
0.624,0.559,1
0.537,0.627,1
0.858,0.463,1
0.703,0.973,1
0.664,0.681,1
0.719,0.114,1
0.67,0.9,1
0.722,0.198,1
0.756,1.002,1
0.759,0.102,1
0.563,0.601,1
0.732,0.937,1
0.662,0.073,1
0.624,0.764,1
0.644,1.044,1
0.719,0.125,1
0.692,0.868,1
0.76,0.943,1
0.686,0.976,1
0.636,0.132,1
0.622,0.707,1
0.612,0.065,1
0.744,0.473,1
0.738,0.875,1
0.811,0.905,1
0.695,0.891,1
0.842,0.948,1
0.741,0.03,1
0.618,0.678,1
0.751,0.068,1
0.616,0.703,1
0.764,0.314,1
0.708,0.016,1
0.837,0.381,1
0.623,0.977,1
0.693,0.929,1
0.746,0.899,1
0.649,0.882,1
0.593,0.708,1
0.712,0.135,1
0.721,0.11,1
0.752,0.157,1
0.613,0.671,1
0.555,0.949,1
0.88,0.429,1
0.695,0.95,1
0.53,0.755,1
0.805,0.318,1
0.684,0.996,1
0.601,0.873,1
0.815,0.401,1
0.54,0.758,1
0.778,0.195,1
0.784,0.429,1
0.809,1.063,1
0.575,0.711,1
0.684,0.083,1
0.625,0.793,1
0.78,0.285,1
0.769,0.22,1
0.491,0.636,1
0.827,0.381,1
0.696,0.096,1
0.69,0.133,1
0.694,0.914,1
0.661,0.931,1
0.746,0.045,1
0.652,0.055,1
0.837,0.259,1
0.764,0.07,1
0.652,0.656,1
0.682,0.151,1
0.653,0.956,1
0.801,0.181,1
0.8,0.374,1
0.662,0.15,1
0.846,0.402,1
0.849,0.215,1
0.856,0.202,1
0.713,0.924,1
0.696,0.431,1
0.556,0.767,1
0.721,0.942,1
0.576,0.715,1
0.797,0.361,1
0.755,0.32,1
0.785,0.44,1
0.591,0.681,1
0.652,0.839,1
0.815,0.281,1
0.639,0.888,1
0.599,0.551,1
0.726,0.864,1
0.766,0.074,1
0.74,0.199,1
0.893,0.269,1
