x,y,label
0.577,0.649,1
0.904,0.314,1
0.76,0.35,1
0.572,0.664,1
0.67,0.718,1
0.752,0.909,1
0.693,0.949,1
0.877,0.486,1
0.77,0.075,1
0.618,0.983,1
0.833,0.297,1
0.761,0.37,1
0.558,0.589,1
0.64,0.673,1
0.646,0.155,1
0.857,0.401,1
0.647,0.953,1
0.846,0.324,1
0.715,0.582,1
0.59,0.938,1
0.672,0.082,1
0.754,0.466,1
0.821,0.386,1
0.887,0.335,1
0.725,1.056,1
0.834,0.315,1
0.595,0.602,1
0.681,0.961,1
0.78,0.125,1
0.836,0.343,1
0.772,0.138,1
0.836,0.503,1
0.593,0.711,1
0.858,0.357,1
0.686,0.087,1
0.823,0.282,1
0.779,0.073,1
0.874,0.303,1
0.809,0.358,1
0.614,0.136,1
0.81,0.296,1
0.638,0.708,1
0.568,0.132,1
0.534,0.553,1
0.621,0.672,1
0.637,1.039,1
0.72,0.211,1
0.81,0.367,1
0.783,0.282,1
0.962,0.321,1
0.644,0.67,1
0.649,0.082,1
0.688,0.932,1
0.724,0.849,1
0.787,0.93,1
0.872,0.318,1
0.805,0.341,1
0.811,0.3,1
0.725,0.351,1
0.735,0.354,1
0.636,0.89,1
0.646,0.628,1
0.625,0.647,1
0.769,0.325,1
0.683,0.669,1
0.486,0.63,1
0.635,0.668,1
0.719,1.019,1
0.499,0.638,1
0.609,0.101,1
0.916,0.292,1
0.716,1.027,1
0.692,0.621,1
0.703,0.151,1
0.494,0.667,1
0.621,0.776,1
0.948,0.251,1
0.581,0.908,1
0.695,0.89,1
0.798,0.122,1
0.644,0.732,1
0.642,0.725,1
0.689,0.619,1
0.709,0.189,1
0.479,0.67,1
0.695,0.086,1
0.677,0.063,1
0.703,0.189,1
0.508,0.743,1
0.79,0.287,1
0.726,0.091,1
0.436,0.67,1
0.754,0.175,1
0.864,0.254,1
0.805,0.121,1
0.78,0.351,1
0.549,0.815,1
0.728,0.798,1
0.632,0.813,1
0.543,0.615,1
0.664,0.827,1
0.679,0.114,1
0.815,0.304,1
0.646,0.623,1
0.92,0.347,1
0.714,0.871,1
0.549,0.09,1
0.745,0.989,1
0.731,0.141,1
0.74,0.59,1
0.762,0.892,1
0.936,0.374,1
0.656,0.136,1
0.856,0.294,1
0.748,0.134,1
0.586,0.683,1
0.616,0.884,1
0.65,0.618,1
0.589,0.544,1
0.629,0.696,1
0.743,0.855,1
0.721,0.863,1
0.611,0.601,1
0.751,0.986,1
0.578,0.658,1
0.556,0.882,1
0.737,0.038,1
0.546,0.766,1
0.739,0.019,1
0.741,0.12,1
0.713,0.137,1
0.615,0.956,1
0.602,0.67,1
0.598,0.746,1
0.712,0.078,1
0.804,0.343,1
0.888,0.306,1
0.588,0.779,1
0.791,0.172,1
0.812,0.098,1
0.804,0.128,1
0.709,0.898,1
0.704,0.066,1
0.669,0.322,1
0.883,0.351,1
0.672,0.966,1
0.627,0.698,1
0.612,0.569,1
0.854,0.28,1
0.489,0.636,1
0.753,0.101,1
0.851,0.233,1
0.613,0.71,1
0.655,0.965,1
0.864,0.138,1
0.669,0.946,1
0.702,0.884,1
0.851,0.322,1
0.748,1.039,1
0.593,0.621,1
0.717,0.281,1
0.622,0.119,1
0.907,0.275,1
0.647,0.18,1
0.569,0.654,1
0.855,0.292,1
0.554,0.798,1
0.838,0.286,1
0.717,0.896,1
0.758,0.231,1
0.639,0.156,1
0.706,0.926,1
0.843,0.123,1
0.705,0.227,1
0.63,0.633,1
0.728,0.972,1
0.774,0.165,1
0.835,0.312,1
0.558,0.549,1
0.728,0.708,1
0.829,0.372,1
0.693,0.567,1
0.652,0.903,1
0.566,0.73,1
0.681,0.856,1
0.583,0.632,1
0.558,0.662,1
0.816,0.454,1
0.727,0.971,1
0.859,0.337,1
0.667,0.143,1
0.635,1.007,1
0.885,0.37,1
0.872,0.353,1
0.724,0.253,1
